,EventName,RoundNumber,eventYear,Team,Compound,Driver,Stint,bestPreRaceTime,bestLapTimeIsFrom,meanAirTemp,meanTrackTemp,meanHumid,Rainfall,GridPosition,Position,raceStintsNums,TyreAge,lapNumberAtBeginingOfStint,StintLen,CircuitLength,designedLaps,fuel_slope,fuel_bias,deg_slope,deg_bias,lag_slope_mean,lag_bias_mean
3851,Spanish Grand Prix,4,2021,Ferrari,MEDIUM,SAI,2.0,77.62,Qualifying,22.5,33.06666666666666,57.59583333333334,0.0,6.0,7.0,2.0,1.0,23.0,24.0,4.655,66,-0.03061481947942964,84.92455814441648,-0.013259029927761972,83.66132542139665,-0.008642558442141414,83.26248010200266
3852,Spanish Grand Prix,4,2021,Ferrari,SOFT,LEC,1.0,77.51,Qualifying,22.04642857142857,31.925000000000004,57.410714285714285,0.0,4.0,4.0,1.0,4.0,1.0,28.0,4.655,66,-0.05495139989434819,84.47757210776545,-0.004428236500840985,84.07129635870754,,
3853,Spanish Grand Prix,4,2021,Ferrari,SOFT,LEC,3.0,77.51,Qualifying,23.1625,35.85,56.8125,0.0,4.0,4.0,3.0,4.0,59.0,8.0,4.655,66,-0.05495139989434819,84.47757210776545,,,,
3854,Spanish Grand Prix,4,2021,Ferrari,SOFT,SAI,1.0,77.62,Qualifying,21.977272727272727,31.8,57.48636363636364,0.0,6.0,7.0,1.0,4.0,1.0,22.0,4.655,66,-0.03061481947942964,84.92455814441648,0.013239107332626782,84.75409086078638,0.004405435415892898,84.41269360974695
3855,Spanish Grand Prix,4,2021,Ferrari,SOFT,SAI,3.0,77.62,Qualifying,22.785,34.78,58.23499999999999,0.0,6.0,7.0,3.0,4.0,47.0,20.0,4.655,66,-0.03061481947942964,84.92455814441648,-0.07553254437869653,86.72360946745549,,
3856,Spanish Grand Prix,4,2021,Haas F1 Team,MEDIUM,MAZ,2.0,79.807,Qualifying,22.544999999999995,33.17,57.315,0.0,20.0,19.0,2.0,1.0,23.0,20.0,4.655,66,-0.061686887716654565,86.86660989701079,0.09390189873417663,82.14810443037977,,
3857,Spanish Grand Prix,4,2021,Haas F1 Team,MEDIUM,MAZ,3.0,79.807,Qualifying,22.713636363636365,34.48181818181818,58.354545454545466,0.0,20.0,19.0,3.0,1.0,43.0,22.0,4.655,66,-0.061686887716654565,86.86660989701079,0.09437309417040272,79.73470224215248,,
3858,Spanish Grand Prix,4,2021,Haas F1 Team,MEDIUM,MSC,2.0,79.117,Qualifying,22.4962962962963,33.07037037037037,57.89999999999999,0.0,18.0,18.0,2.0,1.0,24.0,27.0,4.655,66,-0.08033803441546875,86.79868405180056,0.04336452688620273,82.95252959566486,0.06863321281018968,82.55031701302232
3859,Spanish Grand Prix,4,2021,Haas F1 Team,MEDIUM,MSC,3.0,79.117,Qualifying,22.92142857142857,35.43571428571429,57.89285714285713,0.0,18.0,18.0,3.0,1.0,51.0,14.0,4.655,66,-0.08033803441546875,86.79868405180056,0.7652567567567465,40.57677027027087,0.42981492546357464,60.155736256211675
3860,Spanish Grand Prix,4,2021,Haas F1 Team,SOFT,MAZ,1.0,79.807,Qualifying,21.99090909090909,31.86363636363637,57.4,0.0,20.0,19.0,1.0,1.0,1.0,22.0,4.655,66,-0.061686887716654565,86.86660989701079,0.022076514346444403,86.68756907545156,,
3861,Spanish Grand Prix,4,2021,Haas F1 Team,SOFT,MSC,1.0,79.117,Qualifying,21.98695652173913,31.865217391304352,57.42608695652175,0.0,18.0,18.0,1.0,1.0,1.0,23.0,4.655,66,-0.08033803441546875,86.79868405180056,-0.017194716242661626,86.80273483365947,0.0024408990518913886,86.74515195455552
3862,Spanish Grand Prix,4,2021,McLaren,MEDIUM,NOR,2.0,77.696,Qualifying,22.471428571428568,33.01428571428571,57.957142857142856,0.0,9.0,8.0,2.0,1.0,24.0,28.0,4.655,66,-0.041342190427525016,85.3570228240504,-0.06746363636363682,86.28805930735933,,
3863,Spanish Grand Prix,4,2021,McLaren,MEDIUM,RIC,2.0,77.622,Qualifying,22.55714285714285,33.23809523809524,57.70476190476192,0.0,7.0,6.0,2.0,1.0,26.0,21.0,4.655,66,-0.023915671485438834,84.4908623507228,-0.003978571428571414,83.39669523809525,-0.03572110389610412,84.84237727272729
3864,Spanish Grand Prix,4,2021,McLaren,SOFT,NOR,1.0,77.696,Qualifying,21.98695652173913,31.80434782608696,57.48260869565218,0.0,9.0,8.0,1.0,4.0,1.0,23.0,4.655,66,-0.041342190427525016,85.3570228240504,-0.00412422102201852,85.17058620689654,,
3865,Spanish Grand Prix,4,2021,McLaren,SOFT,NOR,3.0,77.696,Qualifying,22.928571428571423,35.50000000000001,57.864285714285714,0.0,9.0,8.0,3.0,4.0,52.0,14.0,4.655,66,-0.041342190427525016,85.3570228240504,-0.009811475409836283,83.2304754098361,,
3866,Spanish Grand Prix,4,2021,McLaren,SOFT,RIC,1.0,77.622,Qualifying,22.000000000000004,31.812,57.504,0.0,7.0,6.0,1.0,4.0,1.0,25.0,4.655,66,-0.023915671485438834,84.4908623507228,0.014480911983033865,84.36116595970307,0.005178345480507673,84.76587608329982
3867,Spanish Grand Prix,4,2021,McLaren,SOFT,RIC,3.0,77.622,Qualifying,22.785,34.78,58.23499999999999,0.0,7.0,6.0,3.0,2.0,47.0,20.0,4.655,66,-0.023915671485438834,84.4908623507228,-0.06672500000000238,86.18772500000014,-0.03826823770491933,84.70910020491812
3868,Spanish Grand Prix,4,2021,Mercedes,MEDIUM,BOT,2.0,76.873,Qualifying,22.486666666666665,33.06333333333334,58.03666666666666,0.0,3.0,3.0,2.0,1.0,24.0,30.0,4.655,66,-0.058738241308792925,84.29813905930466,0.0014752964426874697,82.16993873517787,,
3869,Spanish Grand Prix,4,2021,Mercedes,MEDIUM,HAM,2.0,76.741,Qualifying,22.65,33.47857142857143,57.18571428571429,0.0,1.0,1.0,2.0,1.0,29.0,14.0,4.655,66,-0.05453231292516966,83.2585731292517,0.09076190476190363,78.44020238095241,0.04611860060229555,80.30507055806514
3870,Spanish Grand Prix,4,2021,Mercedes,MEDIUM,HAM,3.0,76.741,Qualifying,22.6875,34.354166666666664,58.48333333333333,0.0,1.0,1.0,3.0,7.0,43.0,24.0,4.655,66,-0.05453231292516966,83.2585731292517,0.027163157894735692,79.81428947368425,,
3871,Spanish Grand Prix,4,2021,Mercedes,SOFT,BOT,1.0,76.873,Qualifying,21.98695652173913,31.8,57.52173913043478,0.0,3.0,3.0,1.0,4.0,1.0,23.0,4.655,66,-0.058738241308792925,84.29813905930466,-0.03205338595762363,84.37775862068966,,
3872,Spanish Grand Prix,4,2021,Mercedes,SOFT,BOT,3.0,76.873,Qualifying,22.96153846153846,35.676923076923075,57.63076923076923,0.0,3.0,3.0,3.0,4.0,54.0,13.0,4.655,66,-0.058738241308792925,84.29813905930466,-0.02969202898550595,83.59886231884053,,
